TestType,BuildVariant,Threads,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime
omp,ofast,112,1,16384,16384,500,160.4803,160.4800
omp,ofast,112,2,16384,16384,500,162.6058,162.6056
omp,ofast,112,8,16384,16384,500,163.3133,163.3130
omp,ofast,84,1,16384,16384,500,166.3485,166.3483
omp,ofast,84,2,16384,16384,500,160.2806,160.2804
omp,ofast,84,8,16384,16384,500,164.5381,164.5378
omp,ofast,1,1,16384,16384,500,165.2352,165.2350
omp,ofast,2,1,16384,16384,500,163.5586,163.5584
omp,ofast,4,1,16384,16384,500,166.2743,166.2741
omp,ofast,16,1,16384,16384,500,158.4560,158.4558
omp,ofast,8,1,16384,16384,500,160.8084,160.8081
omp,ofast,4,2,16384,16384,500,161.1561,161.1558
omp,ofast,32,1,16384,16384,500,162.8490,162.8488
omp,ofast,2,2,16384,16384,500,163.4037,163.4034
omp,ofast,1,2,16384,16384,500,165.0729,165.0727
omp,ofast,56,1,16384,16384,500,165.6551,165.6548
omp,ofast,16,2,16384,16384,500,166.6286,166.6284
omp,ofast,8,2,16384,16384,500,173.6679,173.6677
omp,ofast,56,2,16384,16384,500,159.6596,159.6594
omp,ofast,32,2,16384,16384,500,161.3985,161.3982
omp,ofast,4,8,16384,16384,500,161.1577,161.1574
omp,ofast,1,8,16384,16384,500,163.6369,163.6367
omp,ofast,2,8,16384,16384,500,164.8787,164.8784
omp,ofast,56,8,16384,16384,500,159.3538,159.3536
omp,ofast,8,8,16384,16384,500,160.0686,160.0684
omp,ofast,32,8,16384,16384,500,160.9404,160.9401
omp,ofast,16,8,16384,16384,500,162.7067,162.7065
omp,ofast,112,1,16384,16384,500,163.4134,163.4132
omp,ofast,1,1,16384,16384,500,164.3909,164.3908
omp,ofast,2,1,16384,16384,500,162.2008,162.2007
omp,ofast,8,1,16384,16384,500,163.2064,163.2062
omp,ofast,4,1,16384,16384,500,167.8180,167.8179
omp,ofast,32,1,16384,16384,500,165.4352,165.4349
omp,ofast,16,1,16384,16384,500,165.6977,165.6975
omp,ofast,84,1,16384,16384,500,162.2650,162.2647
omp,ofast,56,1,16384,16384,500,166.0170,166.0168
omp,ofast_omp_improved,112,1,16384,16384,500,7.9118,7.9114
omp,ofast_omp_improved,112,2,16384,16384,500,7.9952,7.9949
omp,ofast_omp_improved,112,8,16384,16384,500,8.0887,8.0883
omp,ofast_omp_improved,84,1,16384,16384,500,9.9016,9.9011
omp,ofast_omp_improved,84,2,16384,16384,500,9.9402,9.9400
omp,ofast_omp_improved,84,8,16384,16384,500,10.0190,10.0183
omp,ofast_omp_improved,56,1,16384,16384,500,12.9523,12.9521
omp,ofast_omp_improved,32,1,16384,16384,500,22.4093,22.4092
omp,ofast_omp_improved,56,2,16384,16384,500,12.9605,12.9603
omp,ofast_omp_improved,56,8,16384,16384,500,12.9512,12.9508
omp,ofast_omp_improved,32,2,16384,16384,500,22.3384,22.3383
omp,ofast_omp_improved,32,8,16384,16384,500,22.3777,22.3774
omp,ofast_omp_improved,16,1,16384,16384,500,42.4550,42.4548
omp,ofast_omp_improved,16,2,16384,16384,500,44.2158,44.2156
omp,ofast_omp_improved,8,1,16384,16384,500,54.0842,54.0841
omp,ofast_omp_improved,16,8,16384,16384,500,44.0958,44.0955
omp,ofast_omp_improved,8,2,16384,16384,500,54.0078,54.0077
omp,ofast_omp_improved,4,1,16384,16384,500,66.3668,66.3666
omp,ofast_omp_improved,8,8,16384,16384,500,53.8466,53.8463
omp,ofast_omp_improved,4,2,16384,16384,500,66.1044,66.1043
omp,ofast_omp_improved,4,8,16384,16384,500,65.9694,65.9691
omp,ofast_omp_improved,2,1,16384,16384,500,98.1409,98.1408
omp,ofast_omp_improved,2,2,16384,16384,500,98.5354,98.5353
omp,ofast_omp_improved,2,8,16384,16384,500,98.3878,98.3875
omp,ofast_omp_improved,1,1,16384,16384,500,160.6050,160.6048
omp,ofast_omp_improved,1,2,16384,16384,500,160.7681,160.7679
omp,ofast_omp_improved,1,8,16384,16384,500,160.8398,160.8394
omp,ofast_omp_improved,112,1,16384,16384,500,7.9585,7.9578
omp,ofast_omp_improved,112,2,16384,16384,500,8.0450,8.0446
omp,ofast_omp_improved,112,8,16384,16384,500,8.0851,8.0847
omp,ofast_omp_improved,84,8,16384,16384,500,10.0193,10.0186
omp,ofast_omp_improved,84,1,16384,16384,500,9.9704,9.9703
omp,ofast_omp_improved,84,2,16384,16384,500,10.0757,10.0754
omp,ofast_omp_improved,56,1,16384,16384,500,12.9311,12.9309
omp,ofast_omp_improved,56,2,16384,16384,500,12.9303,12.9301
omp,ofast_omp_improved,32,1,16384,16384,500,22.4259,22.4257
omp,ofast_omp_improved,32,2,16384,16384,500,22.4247,22.4245
omp,ofast_omp_improved,56,8,16384,16384,500,12.9543,12.9538
omp,ofast_omp_improved,16,1,16384,16384,500,44.2754,44.2753
omp,ofast_omp_improved,8,1,16384,16384,500,53.9498,53.9497
omp,ofast_omp_improved,16,2,16384,16384,500,44.2353,44.2351
omp,ofast_omp_improved,32,8,16384,16384,500,22.3825,22.3821
omp,ofast_omp_improved,8,2,16384,16384,500,53.8787,53.8786
omp,ofast_omp_improved,4,1,16384,16384,500,65.9885,65.9884
omp,ofast_omp_improved,4,2,16384,16384,500,65.9493,65.9492
omp,ofast_omp_improved,16,8,16384,16384,500,44.3320,44.3317
omp,ofast_omp_improved,8,8,16384,16384,500,53.9535,53.9533
omp,ofast_omp_improved,4,8,16384,16384,500,65.8961,65.8958
omp,ofast_omp_improved,2,1,16384,16384,500,98.2049,98.2048
omp,ofast_omp_improved,2,2,16384,16384,500,98.4351,98.4350
omp,ofast_omp_improved,2,8,16384,16384,500,98.6202,98.6199
omp,ofast_omp_improved,1,1,16384,16384,500,160.2570,160.2568
omp,ofast_omp_improved,1,8,16384,16384,500,160.1098,160.1095
omp,ofast_omp_improved,1,2,16384,16384,500,169.2763,169.2761
