TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
strong,ofast,2,16,8,14,1,16384,16384,500,11.6408,11.5963,11.5023,0.1023,0.8617,0.1011
strong,ofast,1,8,8,14,1,16384,16384,500,22.9875,22.9286,22.8104,0.1276,1.0264,0.1794
strong,ofast,16,128,8,14,1,16384,16384,500,1.3856,1.3904,1.3222,0.0707,0.0902,0.0119
strong,ofast,16,128,8,14,2,16384,16384,500,1.3845,1.3641,1.2960,0.0691,0.0706,0.0119
strong,ofast,16,128,8,14,8,16384,16384,500,1.4124,1.3969,1.3292,0.0709,0.1063,0.0119
strong,ofast,16,32,2,56,1,16384,16384,500,6.1041,6.0870,5.8168,0.2762,0.3024,0.0455
strong,ofast,16,32,2,56,2,16384,16384,500,6.1358,6.0873,5.8169,0.2764,0.3378,0.0447
strong,ofast,16,32,2,56,8,16384,16384,500,6.3132,6.3273,6.0564,0.2764,0.5273,0.0440
strong,ofast,16,256,16,7,1,16384,16384,500,0.7238,0.7276,0.6958,0.0352,0.0791,0.0066
strong,ofast,16,256,16,7,2,16384,16384,500,0.7331,0.7499,0.7163,0.0344,0.0952,0.0062
strong,ofast,16,256,16,7,8,16384,16384,500,0.7101,0.7155,0.6836,0.0347,0.0682,0.0065
strong,ofast,8,64,8,14,1,16384,16384,500,2.8118,2.7928,2.7214,0.0742,0.1351,0.0217
strong,ofast,8,64,8,14,2,16384,16384,500,2.9670,2.9422,2.8623,0.0799,0.2817,0.0226
strong,ofast,8,64,8,14,8,16384,16384,500,2.8008,2.7913,2.7180,0.0751,0.1212,0.0225
strong,ofast,8,16,2,56,1,16384,16384,500,11.8616,11.8073,11.5263,0.2843,0.4305,0.1002
strong,ofast,8,128,16,7,1,16384,16384,500,1.5426,1.5299,1.4898,0.0413,0.1193,0.0118
strong,ofast,8,16,2,56,2,16384,16384,500,11.7859,11.7928,11.5103,0.2831,0.5996,0.1522
strong,ofast,8,16,2,56,8,16384,16384,500,11.7360,11.7564,11.4673,0.3004,0.6043,0.1548
strong,ofast,8,128,16,7,2,16384,16384,500,1.5364,1.5300,1.4906,0.0425,0.1122,0.0121
strong,ofast,8,128,16,7,8,16384,16384,500,1.5627,1.5574,1.5180,0.0430,0.1556,0.0123
strong,ofast,4,32,8,14,1,16384,16384,500,5.9672,5.9540,5.8668,0.0902,0.5043,0.0431
strong,ofast,4,32,8,14,2,16384,16384,500,5.6153,5.5943,5.5071,0.0916,0.2427,0.0421
strong,ofast,4,32,8,14,8,16384,16384,500,5.6688,5.6721,5.5890,0.0902,0.2587,0.0458
strong,ofast,4,64,16,7,1,16384,16384,500,3.1175,3.0939,3.0516,0.0465,0.1739,0.0240
strong,ofast,4,64,16,7,8,16384,16384,500,3.1719,3.1405,3.0975,0.0453,0.2418,0.0233
strong,ofast,4,64,16,7,2,16384,16384,500,4.2497,4.2379,4.1872,0.0508,1.4088,0.0239
strong,ofast,4,8,2,56,1,16384,16384,500,23.2348,23.2272,22.9162,0.3180,0.9360,0.1871
strong,ofast,4,8,2,56,2,16384,16384,500,23.3024,23.2808,22.9421,0.3388,0.8905,0.1747
strong,ofast,4,8,2,56,8,16384,16384,500,22.9957,22.9071,22.5939,0.3261,0.9753,0.1751
strong,ofast,2,16,8,14,1,16384,16384,500,11.3258,11.3191,11.2164,0.1028,0.5150,0.1700
strong,ofast,2,16,8,14,2,16384,16384,500,11.5947,11.5893,11.4901,0.1049,0.7368,0.1572
strong,ofast,2,16,8,14,8,16384,16384,500,11.6130,11.5615,11.4606,0.1009,0.6738,0.1022
strong,ofast,2,4,2,56,1,16384,16384,500,47.4489,47.3970,47.0339,0.3631,2.3371,0.3449
strong,ofast,2,4,2,56,2,16384,16384,500,46.6114,46.5476,46.1839,0.3705,1.8077,0.3478
strong,ofast,2,4,2,56,8,16384,16384,500,46.1075,46.0370,45.7036,0.3509,1.5859,0.3360
strong,ofast,2,32,16,7,1,16384,16384,500,6.3612,6.3243,6.2638,0.0619,0.3120,0.0464
strong,ofast,2,32,16,7,2,16384,16384,500,6.3198,6.2754,6.2169,0.0601,0.2443,0.0465
strong,ofast,2,32,16,7,8,16384,16384,500,6.3690,6.3289,6.2722,0.0616,0.3439,0.0465
strong,ofast,1,8,8,14,1,16384,16384,500,22.7391,22.6835,22.5634,0.1201,0.7700,0.1854
strong,ofast,1,8,8,14,2,16384,16384,500,23.7753,23.6817,23.5556,0.1261,1.7043,0.1790
strong,ofast,1,8,8,14,8,16384,16384,500,24.9137,24.8574,24.7381,0.1204,2.9377,0.1762
strong,ofast,1,16,16,7,1,16384,16384,500,12.6361,12.5760,12.4981,0.0779,0.5788,0.0925
strong,ofast,1,16,16,7,2,16384,16384,500,12.6205,12.5877,12.5151,0.0749,0.4957,0.0944
strong,ofast,1,16,16,7,8,16384,16384,500,12.6087,12.5428,12.4670,0.0758,0.4475,0.0926
strong,ofast,1,2,2,56,1,16384,16384,500,100.7740,100.6393,100.1490,0.4903,0.4656,0.7281
strong,ofast,1,2,2,56,2,16384,16384,500,99.3429,99.1805,98.7318,0.4498,0.4874,0.7086
strong,ofast,1,2,2,56,8,16384,16384,500,100.0563,99.9213,99.4590,0.4623,0.6906,0.7033
strong,o1,4,32,8,14,1,16384,16384,500,5.6476,5.5926,5.5065,0.0905,0.2356,0.0451
strong,noarch,4,32,8,14,1,16384,16384,500,5.3329,5.2464,5.1595,0.0920,0.2593,0.0427
strong,o1,2,16,8,14,1,16384,16384,500,11.8597,11.8116,11.7114,0.1002,1.0383,0.1642
strong,noarch,2,16,8,14,1,16384,16384,500,10.9343,10.8921,10.7971,0.0995,0.6624,0.0990
strong,o0,4,32,8,14,1,16384,16384,500,15.7911,15.7546,15.6399,0.1204,0.4985,0.0678
strong,noarch,1,8,8,14,1,16384,16384,500,22.0240,21.9689,21.8447,0.1242,0.5810,0.1762
strong,o1,1,8,8,14,1,16384,16384,500,22.9263,22.8568,22.7310,0.1259,0.8756,0.1703
strong,o0,2,16,8,14,1,16384,16384,500,32.1349,32.1470,32.0191,0.1350,1.1455,0.1439
strong,o0,1,8,8,14,1,16384,16384,500,65.4144,65.3680,65.1822,0.1859,2.1781,0.2565
strong,ofast_omp_improved,8,64,8,14,1,16384,16384,500,2.9830,2.9081,2.8372,0.0726,0.2283,0.0225
strong,ofast_omp_improved,16,128,8,14,1,16384,16384,500,1.5265,1.3954,1.3287,0.0674,0.1539,0.0118
strong,ofast_omp_improved,16,128,8,14,2,16384,16384,500,1.5159,1.3993,1.3323,0.0680,0.1578,0.0120
strong,ofast_omp_improved,16,128,8,14,8,16384,16384,500,1.4832,1.3642,1.2969,0.0680,0.1225,0.0119
strong,ofast_omp_improved,16,32,2,56,1,16384,16384,500,6.5522,6.0852,5.8183,0.2715,0.4799,0.0441
strong,ofast_omp_improved,16,32,2,56,2,16384,16384,500,6.4623,6.0260,5.7575,0.2688,0.4340,0.0464
strong,ofast_omp_improved,16,32,2,56,8,16384,16384,500,6.5297,6.0890,5.8213,0.2696,0.4642,0.0437
strong,ofast_omp_improved,16,256,16,7,1,16384,16384,500,0.7617,0.7117,0.6807,0.0340,0.0867,0.0066
strong,ofast_omp_improved,16,256,16,7,2,16384,16384,500,0.8036,0.7631,0.7316,0.0343,0.1337,0.0064
strong,ofast_omp_improved,16,256,16,7,8,16384,16384,500,0.7580,0.7108,0.6797,0.0344,0.0824,0.0064
strong,ofast_omp_improved,8,64,8,14,2,16384,16384,500,2.9683,2.8448,2.7727,0.0727,0.2356,0.0238
strong,ofast_omp_improved,8,64,8,14,8,16384,16384,500,2.9919,2.9319,2.8609,0.0725,0.4961,0.0219
strong,ofast_omp_improved,8,128,16,7,1,16384,16384,500,1.6033,1.5291,1.4909,0.0413,0.1326,0.0115
strong,ofast_omp_improved,8,16,2,56,1,16384,16384,500,12.2433,11.8272,11.5508,0.2798,0.7108,0.1647
strong,ofast_omp_improved,8,128,16,7,2,16384,16384,500,1.5730,1.5052,1.4681,0.0396,0.1065,0.0120
