TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
weak,ofast,16,128,8,14,1,16384,16384,500,1.3751,1.3549,1.2859,0.0706,0.0649,0.0111
weak,ofast,16,128,8,14,2,16384,16384,500,1.3657,1.3513,1.2840,0.0689,0.0575,0.0117
weak,ofast,16,128,8,14,8,16384,16384,500,1.3912,1.3805,1.3124,0.0709,0.0859,0.0112
weak,ofast,16,32,2,56,2,16384,16384,500,6.1699,6.1846,5.9136,0.2766,0.4032,0.0463
weak,ofast,16,32,2,56,8,16384,16384,500,5.9847,5.9943,5.7219,0.2753,0.2189,0.0431
weak,ofast,16,256,16,7,1,16384,16384,500,0.7301,0.7210,0.6884,0.0342,0.0752,0.0062
weak,ofast,16,256,16,7,2,16384,16384,500,0.8342,0.8314,0.7978,0.0358,0.1852,0.0061
weak,ofast,16,256,16,7,8,16384,16384,500,0.7190,0.7307,0.6980,0.0341,0.0839,0.0066
weak,ofast,8,64,8,14,1,16384,16384,500,2.7985,2.7836,2.7126,0.0739,0.1004,0.0223
weak,ofast,8,64,8,14,2,16384,16384,500,2.9352,2.9275,2.8541,0.0746,0.2665,0.0233
weak,ofast,8,64,8,14,8,16384,16384,500,2.8576,2.8491,2.7799,0.0742,0.1823,0.0216
weak,ofast,8,128,16,7,1,16384,16384,500,1.5368,1.5160,1.4772,0.0407,0.0977,0.0130
weak,ofast,8,128,16,7,2,16384,16384,500,1.6873,1.6739,1.6334,0.0427,0.2732,0.0123
weak,ofast,8,128,16,7,8,16384,16384,500,1.5273,1.5206,1.4808,0.0417,0.1006,0.0124
weak,ofast,8,16,2,56,1,16384,16384,500,12.5107,12.4820,12.1862,0.2958,1.3073,0.1001
weak,ofast,8,16,2,56,2,16384,16384,500,11.7776,11.7192,11.4393,0.2840,0.5658,0.1583
weak,ofast,8,16,2,56,8,16384,16384,500,11.9472,11.9942,11.6669,0.3273,0.8229,0.1639
weak,ofast,4,32,8,14,2,16384,16384,500,5.6936,5.6679,5.5831,0.0894,0.2981,0.0448
weak,ofast,4,32,8,14,8,16384,16384,500,5.7651,5.7499,5.6526,0.0974,0.3893,0.0455
weak,ofast,4,32,8,14,1,16384,16384,500,5.8230,5.8089,5.7133,0.0956,0.4454,0.0451
weak,ofast,4,64,16,7,2,16384,16384,500,3.1340,3.1195,3.0773,0.0449,0.1911,0.0243
weak,ofast,4,64,16,7,1,16384,16384,500,3.3476,3.3312,3.2825,0.0487,0.4330,0.0228
weak,ofast,4,64,16,7,8,16384,16384,500,3.1363,3.1180,3.0749,0.0448,0.1493,0.0236
weak,ofast,4,8,2,56,1,16384,16384,500,23.7788,23.8150,23.5030,0.3480,1.3850,0.1820
weak,ofast,4,8,2,56,2,16384,16384,500,23.0742,23.0566,22.7444,0.3139,0.6222,0.1712
weak,ofast,4,8,2,56,8,16384,16384,500,23.1009,23.0794,22.7277,0.3518,0.9830,0.1740
weak,ofast,2,16,8,14,2,16384,16384,500,11.4854,11.4343,11.3401,0.1019,0.5302,0.1015
weak,ofast,2,16,8,14,8,16384,16384,500,11.3438,11.2961,11.1986,0.1108,0.5617,0.1021
weak,ofast,2,16,8,14,1,16384,16384,500,11.9028,11.8385,11.7409,0.1002,1.0000,0.0998
weak,ofast,2,4,2,56,1,16384,16384,500,45.5909,45.5179,45.1504,0.3675,1.7147,0.3479
weak,ofast,2,4,2,56,2,16384,16384,500,47.0282,46.9578,46.5969,0.3610,2.4505,0.3504
weak,ofast,2,32,16,7,2,16384,16384,500,6.2937,6.2497,6.1929,0.0626,0.3103,0.0491
weak,ofast,2,32,16,7,1,16384,16384,500,7.0100,6.9666,6.9044,0.0623,1.0998,0.0489
weak,ofast,2,32,16,7,8,16384,16384,500,9.1359,9.0900,9.0230,0.0670,3.3966,0.0475
weak,ofast,2,4,2,56,8,16384,16384,500,49.2700,49.2549,48.8866,0.3683,4.7106,0.3566
weak,ofast,16,32,2,56,1,16384,16384,500,6.0203,6.0070,5.7351,0.2757,0.2307,0.0468
weak,ofast,1,8,8,14,2,16384,16384,500,22.0839,22.0254,21.9080,0.1201,0.3835,0.1692
weak,ofast,1,8,8,14,1,16384,16384,500,26.4222,26.3663,26.2436,0.1228,4.3567,0.1748
weak,ofast,1,8,8,14,8,16384,16384,500,22.9349,22.8430,22.7174,0.1256,1.0428,0.1790
