TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime,Periodic,JobID
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.6648,12.5227,12.4481,0.0746,0.4210,0.0913,0,32601753
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.6766,12.5262,12.4561,0.0714,0.4375,0.0913,1,32601754
weak,ofast_omp_improved,2,32,16,7,1,23170,23170,500,12.9379,12.8045,12.7407,0.0657,0.5684,0.0937,0,32601755
weak,ofast_omp_improved,2,32,16,7,1,23170,23170,500,13.4555,13.3080,13.2445,0.0659,1.0700,0.0896,1,32601756
weak,ofast_omp_improved,4,64,16,7,1,32768,32768,500,12.8201,12.7897,12.7272,0.0659,0.5971,0.0912,0,32601757
weak,ofast_omp_improved,4,64,16,7,1,32768,32768,500,12.9929,12.8999,12.8387,0.0658,0.7886,0.0925,1,32601758
weak,ofast_omp_improved,8,128,16,7,1,46340,46340,500,13.0791,12.9521,12.8868,0.0703,0.6266,0.0958,0,32601759
weak,ofast_omp_improved,8,128,16,7,1,46340,46340,500,13.1850,13.1043,13.0376,0.0738,0.9066,0.0916,1,32601760
weak,ofast_omp_improved,16,256,16,7,1,65536,65536,500,12.6821,12.7739,12.7115,0.0708,0.7592,0.0970,0,32601761
weak,ofast_omp_improved,16,256,16,7,1,65536,65536,500,13.1286,13.1191,13.0549,0.0696,1.1367,0.0942,1,32601762
